appid,Game,Genre,Developer,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Players 2 Weeks,Players Forever
413150,Stardew Valley,Simulation,ConcernedApe,11798.85,9887.94,9693.01,7653.56,7882.63,8904.65,15538.17,8847.55,6869.32,8141.78,8676.5,9824.1,11707.09,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,343235,3297714
550650,Black Squad,N/A,NS STUDIO,0,0,0,0,0.01,1.29,1011.4,7450.46,6091.19,5392.48,5972.61,6922.12,7491.18,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,530081,3673454
427520,Factorio,RTS,Wube Software LTD.,5713.98,6441.33,5418.31,6583.72,10364.55,7404.32,6386.48,6969.85,7097.38,6837.54,6832.35,7642.52,8471.75,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,161763,1127990
678950,DRAGON BALL FighterZ,N/A,Arc System Works,0,0,0,0,0,0,0,0,0,0,0,0,18713.07,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,239829,239829
291550,Brawlhalla,Action,Blue Mammoth Games,5603.28,5944.31,5616.91,5802.29,5291.61,5409.59,5602.41,5073.99,5340.12,5762.33,5531.97,6137.35,6133.25,"$1,001,364.01 ","$895,396.82 ","$913,464.17 ","$887,987.29 ","$855,666.09 ","$899,890.21 ","$918,848.19 ","$906,524.24 ","$905,368.98 ","$1,105,677.56 ","$1,115,306.64 ","$985,638.90 ",$0 ,572569,8133712
476620,Call of Duty: WWII,N/A,"Sledgehammer Games, Raven Software",0,0,0,0,0,0,0,0,0,0,20487.23,10548.12,7571.03,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,251347,791922
239140,Dying Light,Action,Techland,3898.34,2229.32,1717.08,3201.76,1725.08,3540.77,3667.05,2155.17,1679.91,3691.85,3025.82,3306.14,3884.22,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,147430,2196855
359320,Elite Dangerous,Simulation,Frontier Developments,6717.68,5484.6,4453.34,5323.99,4349.66,3589.2,4803.64,3909.58,3967.33,4463.17,3829.58,5041.27,7046.91,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,135656,1194282
433850,H1Z1,Survival,Daybreak Game Company,29943.92,41964.14,62621.01,69158.12,68237.59,71254.26,86807.87,72379.84,46491.72,31263.39,20748.28,19106.42,12146.55,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,659338,6870066
363970,Clicker Heroes,Casual,Playsaurus,12338.48,11153,10517.76,10014.19,9639.54,8558.09,7672.17,7309.55,7197.67,7319.99,7224.9,10126.71,7777.72,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,135400,4270339
393380,Squad,N/A,Offworld Industries,1237.81,996.5,1032.8,2251.04,1594.01,1560.53,1710.39,1279.99,1134.09,1164.24,2168.8,1605.7,1545.12,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,83185,556700
